sub	ses	age	gender	handedness
A00074808	BAS1	63	F	R
A00074808	FLU1	64	F	R
A00074808	FLU2	65	F	R
A00074802	BAS1	64	M	L
A00074800	BAS1	49	F	R
A00074800	FLU1	50	F	R
A00074800	FLU2	51	F	R
A00074795	BAS1	49	F	R
A00074795	FLU2	52	F	R
A00074794	BAS1	66	M	L
A00074794	FLU1	67	M	L
A00074794	FLU2	68	M	L
A00074793	BAS1	49	M	R
A00074793	FLU2	51	M	R
A00074787	BAS1	56	F	R
A00074787	FLU1	57	F	R
A00074784	BAS1	49	F	
A00074780	BAS1	23	F	R
A00074769	BAS1	62	F	L
A00074769	FLU1	62	F	L
A00074768	BAS1	63	M	R
A00074768	FLU1	64	M	R
A00074711	BAS1	69	M	R
A00074709	BAS1	59	F	R
A00074709	FLU1	61	F	R
A00074701	BAS1	56	F	R
A00074701	FLU1	57	F	R
A00074688	BAS1	14	M	
A00074688	TRT	14	M	
A00074687	BAS1	58	M	R
A00074657	BAS1	54	F	R
A00074657	FLU1	55	F	R
A00074657	FLU2	57	F	R
A00074652	BAS1	15	M	
A00074641	BAS1	53	F	R
A00074641	FLU1	54	F	R
A00074641	FLU2	55	F	R
A00074639	BAS1	49	F	R
A00074639	FLU1	50	F	R
A00074618	BAS1	82	F	R
A00074609	BAS1	24	M	R
A00074607	BAS1	9	F	R
A00074607	FLU1	10	F	R
A00074607	FLU2	11	F	R
A00074607	TRT	9	F	R
A00074482	BAS1	11	M	R
A00074479	BAS1	8	M	R
A00074447	FLU1	7	M	
A00074447	FLU2	8	M	
A00074447	TRT	8	M	
A00074439	BAS1	62	F	R
A00074439	FLU1	63	F	R
A00074439	FLU2	64	F	R
A00074427	BAS1	12	F	R
A00074427	FLU1	13	F	R
A00074427	FLU2	14	F	R
A00074427	TRT	12	F	R
A00074425	BAS1	22	M	R
A00074114	BAS1	57	F	R
A00074114	FLU1	58	F	R
A00074114	FLU2	59	F	R
A00074113	BAS1	63	F	R
A00074113	FLU1	64	F	R
A00074113	FLU2	65	F	R
A00074095	BAS1	60	F	L
A00074047	BAS1	53	M	R
A00074034	BAS1	10	F	R
A00074034	FLU1	11	F	R
A00074034	FLU2	12	F	R
A00074034	TRT	11	F	R
A00074000	BAS1	30	M	L
A00073975	BAS1	25	F	R
A00073953	BAS1	69	F	R
A00073953	FLU1	70	F	R
A00073953	FLU2	71	F	R
A00073942	BAS1	62	F	R
A00073942	FLU1	63	F	R
A00073942	FLU2	64	F	R
A00073940	BAS1	44	F	R
A00073940	FLU1	45	F	R
A00073705	BAS1	78	F	R
A00073677	BAS1	44	F	R
A00073677	FLU1	46	F	R
A00073677	FLU2	46	F	R
A00073611	BAS1	64	F	R
A00073600	BAS1	22	F	R
A00073545	BAS1	7	F	R
A00073545	FLU1	8	F	R
A00073545	FLU2	9	F	R
A00073545	TRT	9	F	R
A00073539	BAS1	54	F	R
A00073539	FLU1	55	F	R
A00073539	FLU2	56	F	R
A00073529	BAS1	54	F	R
A00073529	BAS1	54	F	R
A00073525	BAS1	52	F	R
A00073525	FLU1	53	F	R
A00073525	FLU2	54	F	R
A00073308	BAS1	74	M	L
A00073303	BAS1	11	M	R
A00073303	FLU1	12	M	R
A00073303	TRT	11	M	R
A00073296	BAS1	74	F	R
A00073283	BAS1	42	F	R
A00073230	BAS1	59	F	R
A00073230	FLU1	60	F	R
A00073230	FLU2	60	F	R
A00072203	BAS1	23	F	R
A00067174	BAS1	67	M	R
A00067174	FLU1	68	M	R
A00067174	FLU2	69	M	R
A00067146	BAS1	13	M	
A00067146	TRT	13	M	
A00067062	BAS1		F	
A00067062	FLU1	45	F	
A00066926	BAS1	23	M	R
A00066871	BAS1	46	F	R
A00066865	BAS1	37	F	R
A00066864	BAS1	58	F	R
A00066864	FLU1	60	F	R
A00066860	BAS1	7	F	R
A00066860	FLU1	8	F	R
A00066860	FLU2	9	F	R
A00066860	TRT	7	F	R
A00066831	BAS1	73	F	R
