Datasets,CBF.GM,CBF.WM,CBFTYPE
PNC,93.277636,40.217127,SCBF
PNC,76.766776,32.774753,SCBF
PNC,66.877618,36.569792,SCBF
PNC,59.556931,24.158346,SCBF
PNC,98.511639,46.472811,SCBF
PNC,83.978654,43.917485,SCBF
PNC,65.985396,34.904453,SCBF
PNC,54.6254,25.890852,SCBF
PNC,75.082585,34.166873,SCBF
PNC,53.466104,27.105341,SCBF
PNC,83.915315,40.076055,SCBF
PNC,74.143374,35.704453,SCBF
PNC,71.10813,38.396982,SCBF
PNC,75.787901,30.069159,SCBF
PNC,99.658619,54.684721,SCBF
PNC,118.284341,58.023429,SCBF
PNC,69.682784,35.62311,SCBF
PNC,91.086825,44.138695,SCBF
PNC,79.743062,33.860803,SCBF
PNC,84.909336,40.395282,SCBF
PNC,48.52715,21.781012,SCBF
PNC,96.666205,37.311489,SCBF
PNC,78.754667,30.764514,SCBF
PNC,75.293171,35.636542,SCBF
PNC,63.553507,26.214877,SCBF
PNC,84.33775,46.243478,SCBF
PNC,71.385814,27.414362,SCBF
PNC,103.683245,50.929088,SCBF
PNC,79.284414,38.493316,SCBF
PNC,74.953525,25.665064,SCBF
PNC,77.45751,53.822957,SCBF
PNC,104.217452,47.581899,SCBF
PNC,91.491557,37.24139,SCBF
PNC,65.64884,41.591548,SCBF
PNC,51.025399,32.852735,SCBF
PNC,49.010847,26.883012,SCBF
PNC,66.537381,39.267846,SCBF
PNC,66.73838,33.49896,SCBF
PNC,85.723722,34.537962,SCBF
PNC,69.197281,29.787575,SCBF
PNC,53.876604,29.895107,SCBF
PNC,75.42585,35.339971,SCBF
PNC,72.647907,37.205125,SCBF
PNC,86.86948,45.261365,SCBF
PNC,90.128138,38.690436,SCBF
PNC,85.756683,32.397071,SCBF
PNC,78.821694,37.657882,SCBF
PNC,78.893811,41.393212,SCBF
PNC,82.101084,41.831742,SCBF
PNC,70.764875,37.177268,SCBF
PNC,69.907661,41.355916,SCBF
PNC,83.427515,36.356776,SCBF
PNC,71.717013,29.211767,SCBF
PNC,70.280339,25.926795,SCBF
PNC,84.325678,40.458028,SCBF
PNC,84.669214,38.079547,SCBF
PNC,68.52587,34.823846,SCBF
PNC,62.669822,43.708683,SCBF
PNC,72.468639,35.209612,SCBF
PNC,106.511757,42.650148,SCBF
PNC,75.05522,34.755151,SCBF
PNC,81.642059,39.477227,SCBF
PNC,65.270684,24.371495,SCBF
PNC,60.996796,33.096818,SCBF
PNC,95.057906,45.327845,SCBF
PNC,100.595443,44.178707,SCBF
PNC,93.763218,47.286014,SCBF
PNC,85.105188,37.038404,SCBF
PNC,74.874396,32.811134,SCBF
PNC,101.825028,51.184467,SCBF
