Datasets,CBFTYPE,QEI,FD
PNC,SCBF,0.682839657,0.171778651
PNC,SCBF,0.694845348,0.121939056
PNC,SCBF,0.611962494,0.315601808
PNC,SCBF,0.714231895,0.206243846
PNC,SCBF,0.66716558,0.15889959
PNC,SCBF,0.688169466,0.150557946
PNC,SCBF,0.491412644,0.071757903
PNC,SCBF,0.69877048,0.166145955
PNC,SCBF,0.677409566,0.094601207
PNC,SCBF,0.571226959,0.086533518
PNC,SCBF,0.723095583,0.143097079
PNC,SCBF,0.662288065,0.169233666
PNC,SCBF,0.73953111,0.087677955
PNC,SCBF,0.69923148,0.093975516
PNC,SCBF,0.657492563,0.18705224
PNC,SCBF,0.57861255,0.666667561
PNC,SCBF,0.712569097,0.144247326
PNC,SCBF,0.640478685,0.175516768
PNC,SCBF,0.75271754,0.125625512
PNC,SCBF,0.578302739,0.222965115
PNC,SCBF,0.736607654,0.209395193
PNC,SCBF,0.608433408,0.088941376
PNC,SCBF,0.736442954,0.082194104
PNC,SCBF,0.7090742,0.082335935
PNC,SCBF,0.607573832,0.178732954
PNC,SCBF,0.690100843,0.101708068
PNC,SCBF,0.681059967,0.112538095
PNC,SCBF,0.771335783,0.101326996
PNC,SCBF,0.715171695,0.091639524
PNC,SCBF,0.745638514,0.118494494
PNC,SCBF,0.684613448,0.119605085
PNC,SCBF,0.486598787,0.156891342
PNC,SCBF,0.739623191,0.113033094
PNC,SCBF,0.592689831,0.12100343
PNC,SCBF,0.691699743,0.10920047
PNC,SCBF,0.583993872,0.073213668
PNC,SCBF,0.694865803,0.102189627
PNC,SCBF,0.725743205,0.094964709
PNC,SCBF,0.733306093,0.295344497
PNC,SCBF,0.724592475,0.244138035
PNC,SCBF,0.675731996,0.192435332
PNC,SCBF,0.69355133,0.128453258
PNC,SCBF,0.670940939,0.210170789
PNC,SCBF,0.680567694,0.109205722
PNC,SCBF,0.710921457,0.165480525
PNC,SCBF,0.765821391,0.090352919
PNC,SCBF,0.786376837,0.100555275
PNC,SCBF,0.708418522,0.138607447
PNC,SCBF,0.630204192,0.152433854
PNC,SCBF,0.648382377,0.136191063
PNC,SCBF,0.549682561,0.113501369
PNC,SCBF,0.695083215,0.134511291
PNC,SCBF,0.743467253,0.101195358
PNC,SCBF,0.690037146,0.180629126
PNC,SCBF,0.566792584,0.199325266
PNC,SCBF,0.645068123,0.109899953
PNC,SCBF,0.599186291,0.163196086
PNC,SCBF,0.627259623,0.126162178
PNC,SCBF,0.657636995,0.141713322
PNC,SCBF,0.724268535,0.101155634
PNC,SCBF,0.753440353,0.079870458
PNC,SCBF,0.710433218,0.140316338
PNC,SCBF,0.611157886,0.139203129
PNC,SCBF,0.730884394,0.166856361
PNC,SCBF,0.592576209,0.175333019
PNC,SCBF,0.737610049,0.190239943
PNC,SCBF,0.703731618,0.203536594
PNC,SCBF,0.683660241,0.147815254
PNC,SCBF,0.676084694,0.0734995
PNC,SCBF,0.689001873,0.111255246
PNC,SCBF,0.598417957,0.479352183
PNC,SCBF,0.722585834,0.205516287
PNC,SCBF,0.616289735,0.167059201
PNC,SCBF,0.642224437,0.371774871
PNC,SCBF,0.522397627,0.247482452
PNC,SCBF,0.604357312,0.073204687
PNC,SCBF,0.73529592,0.159350878
PNC,SCBF,0.714196197,0.325729679
PNC,SCBF,0.657087835,0.107308652
PNC,SCBF,0.687400868,0.099814677
PNC,SCBF,0.708467601,0.146310746
PNC,SCBF,0.638214231,0.112199282
PNC,SCBF,0.783984613,0.092648465
PNC,SCBF,0.708621664,0.156939683
PNC,SCBF,0.743565638,0.107444937
PNC,SCBF,0.703420152,0.141980543
PNC,SCBF,0.652872005,0.154435768
PNC,SCBF,0.734513192,0.155317472
PNC,SCBF,0.660518918,0.209485495
PNC,SCBF,0.633561214,0.089557731
PNC,SCBF,0.696500341,0.088341816
PNC,SCBF,0.72977452,0.147713086
PNC,SCBF,0.727727485,0.120790417
PNC,SCBF,0.619041471,0.125665739
PNC,SCBF,0.724680453,0.13172196
PNC,SCBF,0.741738196,0.130936756
PNC,SCBF,0.775679529,0.141968377
PNC,SCBF,0.628840737,0.19333291
PNC,SCBF,0.613221613,0.174290198
PNC,SCBF,0.759286936,0.065069734
PNC,SCBF,0.722799547,0.141369389
PNC,SCBF,0.516142846,0.153662639
PNC,SCBF,0.67073133,0.139733637
PNC,SCBF,0.666084528,0.125606565
PNC,SCBF,0.648759493,0.132898751
PNC,SCBF,0.603342485,0.401074883
PNC,SCBF,0.672590532,0.117066868
PNC,SCBF,0.717798118,0.078259679
PNC,SCBF,0.61439232,0.340585395
PNC,SCBF,0.721622171,0.080077815
PNC,SCBF,0.706049196,0.160435355
PNC,SCBF,0.73291167,0.127478362
PNC,SCBF,0.706200975,0.125805209
PNC,SCBF,0.523332363,0.254482816
PNC,SCBF,0.693587116,0.132688924
PNC,SCBF,0.620554003,0.121950785
PNC,SCBF,0.550569041,0.094247745
PNC,SCBF,0.576771792,0.41271373
PNC,SCBF,0.575986149,0.485705764
PNC,SCBF,0.720352215,0.177342016
PNC,SCBF,0.704381422,0.097660012
PNC,SCBF,0.722061249,0.195774548
PNC,SCBF,0.744768665,0.197565402
PNC,SCBF,0.675333077,0.101612683
PNC,SCBF,0.736675958,0.099652539
PNC,SCBF,0.693244073,0.110600397
PNC,SCBF,0.557199559,0.163572417
PNC,SCBF,0.583379475,0.47104921
PNC,SCBF,0.608102178,0.17961155
PNC,SCBF,0.745143716,0.134501497
PNC,SCBF,0.616614775,0.141639348
PNC,SCBF,0.712248301,0.109779704
PNC,SCBF,0.524964892,0.434246512
PNC,SCBF,0.72299917,0.128679757
PNC,SCBF,0.565994485,0.066129992
PNC,SCBF,0.689932506,0.32259184
PNC,SCBF,0.643307123,0.08242991
PNC,SCBF,0.583864689,0.262158377
PNC,SCBF,0.682061389,0.140237291
PNC,SCBF,0.690047542,0.141152538
PNC,SCBF,0.561905039,0.15586287
PNC,SCBF,0.713034842,0.0891529
PNC,SCBF,0.710040871,0.074179537
PNC,SCBF,0.686765763,0.075957456
PNC,SCBF,0.73631516,0.183749296
PNC,SCBF,0.681906993,0.086900163
PNC,SCBF,0.738043687,0.076791605
PNC,SCBF,0.695455087,0.106960918
PNC,SCBF,0.734524745,0.130266417
PNC,SCBF,0.672862634,0.182931575
PNC,SCBF,0.660951658,0.120457277
PNC,SCBF,0.592113165,0.150397592
PNC,SCBF,0.720909826,0.145081045
PNC,SCBF,0.719366683,0.101294971
PNC,SCBF,0.688277701,0.188480295
PNC,SCBF,0.6121932,0.066279081
PNC,SCBF,0.722379476,0.119511887
PNC,SCBF,0.514946363,0.145345329
PNC,SCBF,0.692016513,0.160124557
PNC,SCBF,0.659215692,0.139420904
PNC,SCBF,0.736345072,0.079716877
PNC,SCBF,0.696894399,0.050512935
PNC,SCBF,0.675853393,0.121265176
PNC,SCBF,0.768273911,0.155748675
PNC,SCBF,0.657828724,0.282671022
PNC,SCBF,0.640296379,0.21041723
PNC,SCBF,0.722130122,0.093121866
PNC,SCBF,0.578033746,0.224652291
PNC,SCBF,0.546434758,0.22306846
PNC,SCBF,0.492992664,0.750466059
PNC,SCBF,0.353890599,0.928416476
PNC,SCBF,0.586813614,0.135781591
PNC,SCBF,0.539845661,0.214432157
PNC,SCBF,0.683307068,0.145261656
PNC,SCBF,0.726171708,0.099064518
PNC,SCBF,0.728059317,0.150933733
PNC,SCBF,0.622520124,0.316097947
PNC,SCBF,0.708303364,0.108552536
PNC,SCBF,0.696349219,0.155423313
PNC,SCBF,0.756426181,0.104438774
PNC,SCBF,0.509726266,0.134535266
PNC,SCBF,0.715932681,0.134797494
PNC,SCBF,0.608656263,0.754567544
PNC,SCBF,0.723094213,0.110413386
PNC,SCBF,0.747700549,0.104658764
PNC,SCBF,0.710969691,0.183572811
PNC,SCBF,0.745549118,0.174244724
PNC,SCBF,0.722645056,0.248152801
PNC,SCBF,0.566375639,0.216547863
PNC,SCBF,0.647746422,0.167245322
PNC,SCBF,0.645709815,0.144025989
PNC,SCBF,0.754404687,0.069922278
PNC,SCBF,0.744266374,0.112395749
PNC,SCBF,0.719056965,0.083524472
PNC,SCBF,0.729697958,0.068151752
PNC,SCBF,0.560048967,0.154849891
PNC,SCBF,0.681333366,0.178466289
PNC,SCBF,0.71883591,0.088131024
PNC,SCBF,0.675397783,0.34696225
PNC,SCBF,0.721176598,0.084684641
PNC,SCBF,0.607068716,0.162277872
PNC,SCBF,0.542941224,0.780559111
PNC,SCBF,0.646279271,0.216119452
