sub,ses,CBF_GM,CBF_WM,SCRUB_GM,SCRUB_WM,BASIL_GM,BASIL_WM,PVC_GM,PVC_WM
A00081725,BAS1,54.006005,36.673949,52.966879,36.580032,60.786902,46.20394,71.615547,68.304048
A00081725,FLU1,40.496886,28.246275,40.145568,27.487045,47.264393,37.696271,55.764501,53.966943
A00074800,BAS1,49.937333,33.979503,50.069738,33.72844,53.920527,41.042556,62.988873,61.548652
A00074800,FLU2,46.155601,34.751652,46.438292,34.744431,50.117181,41.255774,57.874739,62.99031
A00074800,FLU1,54.28352,31.56947,53.323391,31.825265,56.450314,39.043871,66.903223,57.502924
A00066827,BAS1,66.873966,31.009038,64.855715,30.584329,67.402847,40.065542,80.833234,56.26911
A00064580,BAS1,54.464514,34.254485,56.624283,36.438663,63.02266,47.773069,76.971762,70.023625
A00055728,TRT,78.17912,46.723937,74.730166,46.187087,83.653851,58.400712,101.007237,85.02616
A00055728,BAS1,77.745401,49.270881,80.963746,48.909248,87.356409,61.109107,102.724165,89.971332
A00055728,FLU2,70.217503,39.508002,67.811234,39.093298,73.221019,48.662519,88.997967,69.69
A00057444,BAS1,74.931819,45.783532,73.350992,44.654187,78.857055,54.437329,93.061629,80.548691
A00066822,BAS1,58.954604,33.832211,60.129984,34.03922,62.294497,41.155843,74.318995,59.442132
A00040285,BAS2,48.413648,34.617214,48.401255,33.577518,53.851928,40.418002,62.818815,59.682738
A00040285,FLU2,56.322548,32.657888,53.877815,32.49365,62.190688,42.29189,73.74873,59.274209
A00040285,FLU1,62.606572,45.02149,62.009782,44.350182,69.847183,52.908734,81.612408,79.206909
A00040628,BAS2,65.644117,37.188874,64.351774,36.793688,68.476024,46.075092,80.707023,66.831904
A00031881,TRT,43.874127,24.021198,44.734257,26.204179,50.185111,33.970223,57.953887,50.63894
A00031881,FLU2,47.098994,21.069336,46.480388,21.532556,49.923122,30.020902,60.659654,42.095361
A00031881,FLU1,51.743132,24.0189,51.422274,24.096043,57.125961,33.951563,69.136658,47.440746
A00065865,BAS1,41.584231,36.741179,39.139208,34.822918,50.156224,42.80445,57.651955,64.861445
A00066246,BAS1,52.324615,28.521984,52.466947,30.387828,60.209851,41.44107,74.067218,58.205566
A00061263,BAS1,44.15472,26.519998,44.163336,26.652995,47.866084,34.1629,56.966986,48.606257
