sub,ses,task,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
A00059074,BAS1,rest,0.12443455706250002,0.0005699861816622303,0.9821117241049891,0.9648521820741436,0.977525702507358,1.0,0.9678858873216988,0.9377702285361336,0.9598280428002578,0.9784429980021913,0.3080515039519381,0.3134913986039464,0.3950678365980505,0.5191989049223368,0.3628655022022546,30.78520851048689,43.53419151692235,0.7071501143766559,15.317838140576868,15.373844861383365,12.34948193783254,0.0,0.0
A00059107,BAS1,rest,0.16017283057499998,0.0007689919843791923,0.9964140251460952,0.9928536768273856,0.9953550436004964,1.0,0.9765455061315848,0.954166024949946,0.9705130199543521,0.9774391013504984,0.2266009236072564,0.2474934099118208,0.34651082808427763,0.599046539178724,0.5218545588754415,35.281256353222645,48.21439053257135,0.7317578001818419,13.48817387598551,11.97528233539314,9.460899211591732,0.0,0.0
A00059109,BAS1,rest,0.628032216,0.0019887483508938693,0.9975097401293328,0.9950318522376698,0.996670683187658,1.0,0.9761520700888764,0.9534150937567576,0.9700498309538964,0.9790629064492592,0.22390720765296745,0.1905127035991623,0.3209504784122133,0.6578019905825543,0.5463977741705746,41.471109606185045,65.04683723875308,0.6375576640869747,27.18160377358491,29.54009433962264,22.87735849056604,0.0,0.0
A00059325,BAS1,rest,0.26617750222500003,0.0018553626737432343,0.9973266236829691,0.9946675031367628,0.9963999186621271,1.0,0.9752110453648916,0.9516213469651712,0.9688435413548484,0.975934815563416,0.3255612222059531,0.3851646057960828,0.5001772392925751,0.6658398956672639,0.5238015206581091,68.05910027514604,80.71094801471827,0.8432449617954548,13.49907063197026,9.711895910780669,5.8782527881040885,0.0,0.0
A00059325,FLU1,rest,1.6107993275,0.01159395686537817,0.9965689208059046,0.9931613057134904,0.9954052573089656,1.0,0.9706976005085016,0.94306357489116,0.9632834572780704,0.9783465197475896,0.08271244443984359,0.044295960964699836,0.18549055905248324,0.5713041956364829,0.5363043189040797,67.51856941773569,61.7847002273878,1.0928040302736015,22.90969899665552,26.23029144768275,19.111323459149546,0.0,0.0
A00059325,TRT,rest,1.182129737585,0.004724185884757639,0.9972606002858504,0.9945361681909966,0.9963236616015126,1.0,0.9708768597657488,0.9434020301445708,0.9634357344764528,0.9746099335854332,0.12247936792773614,0.06805628814418857,0.2259630210859348,0.63515962735182,0.5624610486006032,63.25000129892405,65.39998200661105,0.9671256682078342,23.12909260991581,26.753975678203933,19.901777362020578,0.0,0.0
A00059326,BAS1,rest,1.6738526822500002,0.022786455869680318,0.9979003764842166,0.9958095513329962,0.9970840330423104,1.0,0.9671316644372252,0.936355226641998,0.9588609398332728,0.9768698729290656,0.027237637019486,0.08027840517699397,0.3070659482912453,0.5823868576969752,0.4889595837758381,69.90123865520779,64.16593703786758,1.08938234025875,23.551577955723033,23.480923221855864,16.7687235044748,0.0,0.0
A00059326,FLU1,rest,0.17975605260000002,0.0025004292881405108,0.9960108048156564,0.9920533105266908,0.9944414350065712,1.0,0.9734022318031956,0.9481826884476424,0.9666300791476488,0.9785830385314084,0.4909082052747421,0.5023792368853488,0.6066591277559195,0.6369924756593625,0.5343430002094579,79.56124471114853,90.64237284813801,0.8777489182067775,8.361581920903955,8.090395480225988,4.40677966101695,0.0,0.0
A00059327,BAS1,rest,0.1408094425575,0.0017082836951037743,0.9917908323052104,0.9837153480491364,0.9896049874939874,1.0,0.947301421507026,0.8998790735171003,0.9352366707423132,0.9817333062715649,0.2693704082670527,0.27286653510007386,0.3552901862130564,0.6069282850626866,0.5159640639917805,58.265818751010066,69.9009899473944,0.8335478337983389,12.199434229137196,12.376237623762375,8.592644978783593,0.0,0.0
A00059327,FLU1,rest,0.09352718395,0.0017329589089925994,0.9740469108330874,0.9494068696883852,0.967102443926337,1.0,0.9587459278134374,0.9207607954897468,0.9488277334045871,0.9811520052813996,0.4448471478226006,0.42871317859373576,0.5191012809405513,0.5768093037892874,0.4719743829453457,52.88672658268177,64.52638199366629,0.8196140082342284,9.149277688603533,9.791332263242374,7.158908507223114,0.0,0.0
A00059327,TRT,rest,0.10370738468013838,0.0003337458518150205,0.9885788507188604,0.9774156407758392,0.9853307204142372,1.0,0.9702954527355259,0.9423047177107502,0.9628327371446564,0.9802407157108836,0.3601292953214125,0.36318713568674105,0.4668312283501153,0.6287139802604319,0.4943118864540282,50.20764247143362,67.57672565286538,0.742972406348083,10.677165354330711,9.921259842519683,7.937007874015747,0.0,0.0
A00059344,BAS1,rest,0.2922710120875,0.0023347015639353227,0.9968310628687987,0.99368214661777,0.9956127574681862,1.0,0.9735548720550464,0.9484723981341324,0.96682060663242,0.9783633930278504,0.2258628168643993,0.2284669311512497,0.3441504450916432,0.6811274616293433,0.4686950141536049,39.181128716246455,46.740177197976045,0.8382751428238717,12.17298451681794,11.97722014593344,9.717031500266954,0.0,0.0
A00059344,FLU1,rest,0.2783657449375,0.0026999323050274477,0.9969316699432268,0.993882111587354,0.9957660889662734,1.0,0.9681005239604402,0.9381732876500909,0.9600779357642728,0.977927927927928,0.07166426150759711,0.08095542104143831,0.1872029113304371,0.6517455531552611,0.4776578415836728,28.18437458586809,40.933796408301376,0.6885355637365776,15.760186681026745,14.970382337102851,11.075210913660023,0.0,0.0
