subject,session,AcqGroup
sub-A00075757,FLU1,1
sub-A00075757,BAS1,1
sub-A00075746,BAS1,1
sub-A00075745,BAS1,1
sub-A00076574,BAS1,1
sub-A00076574,FLU1,1
sub-A00076586,BAS1,1
sub-A00076764,BAS1,1
sub-A00076759,TRT,1
sub-A00076759,FLU1,1
sub-A00076759,BAS1,1
sub-A00076755,TRT,1
sub-A00076755,FLU1,1
sub-A00076755,BAS1,1
sub-A00076746,FLU1,1
sub-A00076586,FLU1,1
sub-A00076744,BAS1,1
sub-A00076600,FLU1,1
sub-A00076600,BAS1,1
sub-A00076595,TRT,1
sub-A00076595,FLU1,1
sub-A00076595,BAS1,1
sub-A00076594,FLU1,1
sub-A00076594,BAS1,1
sub-A00077413,BAS1,1
sub-A00077453,BAS1,1
sub-A00081071,FLU1,1
sub-A00080428,FLU1,1
sub-A00080327,FLU1,1
sub-A00080327,BAS1,1
sub-A00080052,FLU1,1
sub-A00080052,BAS1,1
sub-A00079977,FLU1,1
sub-A00079977,BAS1,1
sub-A00079931,BAS1,1
sub-A00079907,BAS1,1
sub-A00079850,FLU1,1
sub-A00079850,BAS1,1
sub-A00079818,TRT,1
sub-A00079818,BAS1,1
sub-A00079777,BAS1,1
sub-A00079776,TRT,1
sub-A00079776,FLU1,1
sub-A00079776,BAS1,1
sub-A00079775,BAS2,1
sub-A00079775,BAS1,1
sub-A00079747,BAS1,1
sub-A00080428,BAS1,1
sub-A00080447,BAS1,1
sub-A00077453,FLU1,1
sub-A00081071,BAS1,1
sub-A00081065,TRT,1
sub-A00081065,FLU1,1
sub-A00081065,BAS1,1
sub-A00081064,TRT,1
sub-A00081064,BAS1,1
sub-A00080942,BAS1,1
sub-A00080932,FLU1,1
sub-A00080932,BAS1,1
sub-A00080901,FLU1,1
sub-A00080819,FLU1,1
sub-A00080819,BAS1,1
sub-A00080818,TRT,1
sub-A00080818,BAS1,1
sub-A00080811,FLU1,1
sub-A00080535,BAS1,1
sub-A00080453,BAS1,1
