Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,IntendedForKey07,IntendedForKey08,IntendedForKey09,IntendedForKey10,IntendedForKey11,IntendedForKey12,IntendedForKey13,IntendedForKey14,IntendedForKey15,IntendedForKey16,IntendedForKey17,IntendedForKey18,IntendedForKey19,IntendedForKey20,IntendedForKey21,IntendedForKey22,IntendedForKey23,IntendedForKey24,IntendedForKey25,IntendedForKey26,IntendedForKey27,IntendedForKey28,IntendedForKey29,IntendedForKey30,IntendedForKey31,IntendedForKey32,IntendedForKey33,IntendedForKey34,IntendedForKey35,IntendedForKey36,IntendedForKey37,IntendedForKey38,IntendedForKey39,IntendedForKey40,IntendedForKey41,IntendedForKey42,IntendedForKey43,IntendedForKey44,IntendedForKey45,IntendedForKey46,IntendedForKey47,IntendedForKey48,IntendedForKey49,IntendedForKey50,IntendedForKey51,IntendedForKey52,IntendedForKey53,MultibandAccelerationFactor,NSliceTimes,NumberOfVolumesDiscardedByScanner,NumberOfVolumesDiscardedByUser,ParallelAcquisitionTechnique,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,SliceEncodingDirection,TotalReadoutTime,VolumeTiming
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__16,acquisition-se_suffix-asl_task-rest,16,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.95,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__17,acquisition-se_suffix-asl_task-rest,17,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,5.24,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__18,acquisition-se_suffix-asl_task-rest,18,2,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.41,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__19,acquisition-se_suffix-asl_task-rest,19,2,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,5.27,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__20,acquisition-se_suffix-asl_task-rest,20,2,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.19,,0.0327753,
One slice missing,,,acquisition-seVariantSlices_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__21,acquisition-se_suffix-asl_task-rest,21,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,2,0.875,j-,4,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__22,acquisition-se_suffix-asl_task-rest,22,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.29,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__23,acquisition-se_suffix-asl_task-rest,23,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.31,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__24,acquisition-se_suffix-asl_task-rest,24,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.37,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__25,acquisition-se_suffix-asl_task-rest,25,2,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.38,,0.0327753,
