scanid,oldpnc
3295,7.491985939323908
4966,7.1873842829725865
3314,7.76633344401182
3346,7.660831214805943
4410,7.082231523686278
3414,7.565783841914975
3494,4.612302750216939
4507,6.813293026484768
6142,5.23961867017239
3293,7.650800633844779
3464,5.660767610921487
3466,6.6066234282978655
4651,8.597913028759237
4765,7.012006156478289
3230,7.483538229093971
4901,3.809879309083058
6852,7.265198106579986
9695,
3647,4.133634521606296
3245,3.7414824477270803
3543,5.949092632613052
3731,6.291871845774344
3532,7.4628100012897045
3235,6.881106154846189
3341,6.244752586009574
6695,7.305073852280599
6729,6.700353651255457
3541,5.982672453494243
5018,3.3634877818816795
3212,4.13198903105449
3475,7.913417655125097
9972,
5927,5.447657358978251
3239,7.737221288293008
4381,3.7386204222701647
4550,6.3239013392678105
3367,7.274460509610311
6798,7.1132780404465965
3796,6.205309118183933
3450,3.1850013576906706
5758,8.121806995927551
5292,5.802764285916019
5692,6.5983382256274385
3498,7.567132837356077
4376,6.994372967844147
4933,7.435682077054417
3516,5.822298108517737
3595,6.354829418389511
3327,7.63359336817738
4249,7.458624429072291
7951,7.645059641956889
5016,7.39764078681805
3428,7.478262626947533
3313,8.044270567892573
4814,5.985730508648456
3374,6.95560494496879
3434,7.873625229255702
3353,7.950868874433665
3741,7.4981677511009766
3854,7.644109757591482
7500,6.048296379189321
3609,6.840207187245515
4746,7.669164724353698
4592,5.695860852380799
5892,8.148347310513357
3465,7.202533132624007
3540,7.154826003356836
5920,6.0292180063520835
4747,6.692609389993159
3426,6.871787217282955
3410,6.285810230658889
3646,5.901875553867251
4754,6.7843664722655594
6040,6.329332236489927
3712,8.279548851318086
3645,6.955393010493192
3405,8.155038669619493
4071,7.912719070419226
5379,3.836092416670299
5872,4.775446906703321
3322,6.599147952406066
4990,7.690481844369451
3321,5.615904771093644
3363,3.427342040695813
6676,7.123966191099134
6962,8.73906323191552
8286,7.7195398650161335
4986,5.6269575997324495
3408,7.740886436277567
3459,3.749899041206549
4467,5.4040702261602
7419,4.988534525383548
3344,6.726917697502431
4439,7.252903151041445
4442,4.745212160956715
6883,3.9551402230260093
3582,7.278231238909512
3765,7.044662716923836
3458,4.410648784336959
6881,8.243541583091323
6219,7.484618954192522
5232,6.807459555881277
3463,4.861560774660112
7865,5.504326545618092
3897,7.093191679830301
4544,7.10952000944687
3798,5.0039735527687315
6703,6.3321570759214065
8312,3.9646849853507025
6846,5.986021582785968
3596,7.718782994153762
5190,5.442832996929772
3714,5.193327136942908
3435,7.92153139345615
3362,7.17219461488011
3907,6.486719891337624
3474,5.591089256678325
3493,7.452789739539033
3703,7.834392108065966
6865,3.8842316792836153
3651,3.731791282349864
5481,6.55348112771852
3372,6.902274809965527
3432,7.267326852028031
6730,7.33977964594499
3578,6.085259380345482
3489,7.356526959355848
4756,8.00264026093491
6608,8.243009156112135
3634,5.845837902841234
4075,4.3515726415308675
8127,5.853267988503052
